subjCode	seed	angleAssign	labelAssign	condition	room	date_time	dateStr	expVersion	block	trialType	trial	target	angle	left	right	freq	blit	clate	gled	gorm	grah	hoon	noobda	pim	nearbyLabel1	nearbyAngle1	nearbyFreq1	nearbyLabel2	nearbyAngle2	nearbyFreq2	updateScore	feedback	trialType	trialNumber	response	label	isRight	rt	score
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	12	mog	240	grah	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	57	NA	mog	1	1680.06888204	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	1	dak	285	mog	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	58	NA	dak	1	1913.44829772	17
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	11	minada	60	minada	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	59	NA	minada	1	4530.07989954	18
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	17	sarp	150	gorm	sarp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	60	NA	sarp	1	3163.31412565	19
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	5	grah	195	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	25	NA	sarp	0	2283.3569279	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	7	dak	285	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	26	NA	dak	1	1750.12753138	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	8	frabda	330	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	27	NA	frabda	1	5666.64986371	9
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	6	mog	240	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	28	NA	mog	1	6983.40009237	6
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	1	clate	15	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	29	NA	clate	1	2033.23181131	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	3	gorm	105	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	30	NA	mog	0	1966.60790664	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	2	minada	60	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	31	NA	minada	1	2302.31337404	15
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	4	sarp	150	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	32	NA	sarp	1	2068.76009309	16
